supplier_num,license_number,products,sku,batch_number,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
442,306332,Bru Hefeweizen,37218,,,0,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,,f
442,306332,Keg Credit,1000004,,,100000,0.19,1,1,0,0.3,0,0,0,0,Beer,,f
442,306332,Ipa,11155,,,64294613421,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Original JoeS Light,132522,,,0,0.58,1,1,0.04,0.3,1.18,1.18,0,0,Beer,Draught,f
442,306332,Black Amber Ale,162016,,,64294616002,0,6,24,0.05,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Ipa,162032,,,64294613407,0,6,24,0.05,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Traditional Ale Can,162057,,,64294000788,0,6,24,0.05,0.01,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Grasshopper Wheat Ale Can,162065,,,64294000771,0,15,15,0.05,0.01,0.27,0.27,0,0,Beer,Packaged,t
442,306332,Ipa,174086,,,64294613483,0.58,1,1,0.05,0.3,1.64,1.64,0,0,Beer,Draught,f
442,306332,Double Happiness Lager,175588,,,0,0.58,1,1,0.05,0.3,1.39,1.39,0,0,Beer,Draught,f
442,306332,Scottish Heavy Ale,203133,,,0,0.3,1,1,0.07,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Dunkelwiezen Dark Wheat Ale,210112,,,64294001358,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
442,306332,Dunkelwiezen,210963,,,0,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Urban  White Rocket Unfiltered Ipa 58l,227124,,,0,0.58,1,1,0.07,0.3,1.64,1.64,0,0,Beer,,f
442,306332,Lime Can,227702,,,64294628104,0,6,24,0.04,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Rock Creek Tall Can,227868,,,64294628395,0,1,24,0.05,0,0,0,0,0,Cider,,f
442,306332,Rock Creek Tall Can,227868,,,64294628371,0,1,24,0.07,0.1,0.02,0.02,0,0,Beer,,f
442,306332,Traditional Ale,256446,,,0,0.58,1,1,0.05,0.3,1.64,1.64,0,0,Beer,Draught,f
442,306332,Alberta Honey Brown,256453,,,0,0.58,1,1,0.05,0.3,1.64,1.64,0,0,Beer,Draught,f
442,306332,Saaz Republic Pilz,267369,,,64294623154,0,6,24,0.05,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Saaz Republic Pilz 30l,267393,,,64294623161,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Life Of Chai,288118,,,64294100778,0.3,1,1,0.06,0.3,1.35,1.35,0,0,Beer,Draught,t
442,306332,Hellesbock 6 Pk,297077,,,64294623277,0,6,24,0.06,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Bl Amber,299875,,,0,0.58,1,1,0.05,0.3,1.9,1.9,0,0,Beer,Draught,t
442,306332,Bl Blonde,299941,,,0,0.58,1,1,0.05,0.3,1.9,1.9,0,0,Beer,Draught,t
442,306332,Lime,372250,,,64294628135,0,12,24,0.04,0.01,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Fowl Mouth Esb Bottle,374595,,,64294623475,0,6,24,0.05,0,0.1,0.1,0,0,Beer,Packaged,f
442,306332,Scottish Style Heavy Ale Bottle,381418,,,64294614022,0,6,24,0.07,0,0.1,0.1,0,0,Beer,Packaged,f
442,306332,Sips Scottish,381418,B,,64294613988,3.3,6,24,0.05,0.6,0.1,0.1,0,0,Beer,Packaged,t
442,306332,Rhubarb Wit,382192,,,0,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,,f
442,306332,Bru Pin Cask,410563,,,0,0.2,1,1,0.05,0.3,0.97,0.97,0,0,Beer,,f
442,306332,Purple Gas Can,417527,,,64294623369,0,6,24,0.05,0,0.1,0.1,0,0,Beer,Packaged,f
442,306332,Wayfinder Pale Ale,421784,,,64294613216,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Urban  White  Ipa,422105,,,64294613216,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Urban  White  Ipa,422105,,,64294613216,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Fowl Mouth Esb Keg,435503,,,64294623482,0.3,1,1,0.05,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Radtrad Cascadian Ale,438911,,,64294623901,0.3,1,1,0.06,0.3,1.03,1.03,0,0,Beer,Draught,f
442,306332,Wayfinder Pale Ale,448282,,,0,0.3,1,1,0.04,0.3,1.03,1.03,0,0,Beer,,f
442,306332,Spec   Dead Reckoning,450114,,,64294623598,0,1,12,0.07,0,0.04,0.04,0,0,Beer,Packaged,f
442,306332,Urban  St Adams Holiday Ale,453522,,,0,0.3,1,1,0.08,0.3,1.03,1.03,0,0,Beer,,f
442,306332,Alberta Genuine Draft Can 15 Pack,45708,,,64294821116,0,15,15,0.05,0.01,0.18,0.18,0,0,Beer,Packaged,f
442,306332,Honey Brown Lager,45880,,,64294619904,0,6,24,0.05,0,0.12,0.12,0,0,Beer,Packaged,t
442,306332,Original JoeS Blonde,464115,,,64294613117,0.58,1,1,0.05,0.3,1.18,1.18,0,0,Beer,Draught,f
442,306332,McnallyS Extra Ale Bottle,465641,,,64294613988,0,6,24,0.07,0.6,0.1,0.1,0,0,Beer,Packaged,f
442,306332,Rosmarinus Aromatic Ale Keg,472571,,,64294623420,0.3,1,1,0.05,0.3,1.35,1.35,0,0,Beer,Draught,t
442,306332,Winter Spice,47357,,,64294613216,0.3,1,1,0.06,0.3,1.25,1.25,0,0,Beer,Draught,t
442,306332,Rock Creek  Pear Cider Can,478701,,,64294626209,0,6,24,0.05,0,0,0,0,0,Cider,,f
442,306332,Urban   Cascade Wet Hop,479980,,,1,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Midnight Rhapsody,48496,,,64294613216,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Cherazz Bomber,487397,,,1,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Cuvee Bru,497149,,,64294613797,0,1,12,0.05,0,0.1,0.1,0,0,Beer,Packaged,t
442,306332,Urban  Midnight Rhapsody,51235,,,0,0.3,1,1,0.01,0.3,1.03,1.03,0,0,Beer,,f
442,306332,Helles Bock 30l,513481,,,0,0.3,1,1,0.06,0.3,1.35,1.35,0,0,Beer,Draught,t
442,306332,Urban  Centennial Wet  Hop,519264,,,1,6.5,1,12,0.01,0.1,0.05,0.05,0,0,Beer,,f
442,306332,Mosaic Lager Bottle,524611,,,64294821116,3.3,6,24,0.05,0.06,0.1,0.1,0,0,Beer,,f
442,306332,Swinger Pack 12 Pack,540922,,,64294623666,0,12,12,0.05,0.01,0.18,0.18,0,0,Beer,Packaged,f
442,306332,Rhine Stone Cowboy Can,543322,,,64294615005,0,6,24,0.05,0.06,0.1,0.1,0,0,Beer,Packaged,f
442,306332,Urban  Frankincense  Myrrh,547976,,,0,0.3,1,1,0.04,0.3,1.03,1.03,0,0,Beer,,f
