product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
Twenty Pounder Double Ipa,104174,,,628201000423,0,1,12,0.09,0,0.05,0.05,0,0,Beer,Packaged,f
White Bark Witbier,125773,,,0,0.19,1,1,0.05,0.3,0.73,0.73,0,0,Beer,Draught,f
Belle Royale,128173,,,628201000164,0,1,12,0.09,0,0.1,0.1,0,0,Beer,Packaged,f
Bird Of Prey Flanders Red,136044,,,0,0.5,1,1,0.08,0.3,2.8,2.8,0,0,Beer,Draught,f
Drawn To Light,142752,,,628201000188,6.5,1,12,0.07,0,0.05,0.06,0,0,Beer,Canada,t
Drawn To Light Abbey Ale,142752,,,628201000188,0,1,12,0.07,0,0.05,0.06,0,0,Beer,Packaged,f
Cuvee DHiver Cask,157776,,,0,0.4,1,1,0.06,0.3,0,0,0,0,Beer,Draught,f
Cuvee DHiver Cask,162073,,,0,0.18,1,1,0.06,0.3,0,0,0,0,Beer,Draught,f
Farm Hand Saison,173963,,,0,0.19,1,1,0.05,0.3,0.73,0.73,0,0,Beer,Draught,f
Belle Royale,176941,,,0,0.18,1,1,0.09,0.3,0,0,0,0,Beer,Draught,f
White Bark Witbier,186718,,,628201000034,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
Twenty Pounder Double Ipa,187674,,,0,0.4,1,1,0.09,0.3,0,0,0,0,Beer,Draught,f
Bird Of Prey Flanders Red,200170,,,628201000195,0,1,12,0.07,0,0.1,0.1,0,0,Beer,Packaged,f
Sartori Harvest Ipa,200576,,,0,0.18,1,1,0.07,0.3,1.15,1.15,0,0,Beer,Draught,f
Crooked Coast Altbier,204263,,,0,0.5,1,1,0.05,0.3,1.7,1.7,0,0,Beer,Draught,f
Son Of The Morning Strong Golden Ale,217869,,,628201001666,0,1,12,0.1,0,0.07,0.07,0,0,Beer,Packaged,f
Singularity Russian Imperial Stout Cask 20l,230946,,,0,0.2,1,1,0.11,0.3,1.9,1.9,0,0,Beer,Draught,f
Mad Bruin Sour Brown Ale,267955,,,628201001550,0,1,12,0.07,0,0.09,0.09,0,0,Beer,Packaged,f
Mad Bruin Sour Brown Ale,267989,,,0,0.18,1,1,0.07,0.3,1.15,1.15,0,0,Beer,Draught,f
Fat Tug Ipa,27722,,,0,0.19,1,1,0.07,0.3,0.84,0.84,0,0,Beer,Draught,f
Clodhopper Local Malt Dubbel,319566,,,0,0.19,1,1,0.07,0.3,1.05,1.05,0,0,Beer,Draught,f
Clodhopper Local Malt Dubbel,320507,,,628201002229,0,1,12,0.07,0,0.06,0.06,0,0,Beer,Packaged,f
Cuvee DHiver,34645,,,628201000171,0,1,12,0.06,0,0.06,0.06,0,0,Beer,Packaged,f
Cry Me A River Gose,367532,,,0,0.19,1,1,0.05,0.3,0.73,0.73,0,0,Beer,Draught,f
Naughty Hildegard Esb,368787,,,0,0.19,1,1,0.06,0.3,0.84,0.84,0,0,Beer,Draught,f
Old Cellar Dweller Cask,369991,,,0,0.4,1,1,0.11,0.3,0,0,0,0,Beer,Draught,f
Bird Of Prey Flanders Red,376640,,,0,0.19,1,1,0.07,0.3,1.5,1.5,0,0,Beer,Draught,f
Lustrum  Wild Sour Ale,378034,,,628201000881,0,1,12,0.09,0,0.1,0.1,0,0,Beer,Packaged,f
Crooked Coast Ale Growler,379719,,,0,0.01,1,1,0.05,0,0.11,0.11,0,0,Beer,Packaged,t
Spring Rite Local Malt Abbey Ale,38596,,,0,0.18,1,1,0.07,0.3,0,0,0,0,Beer,Draught,f
Driftwood  Farmhand Saison Growler,394718,,,0,0.01,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
Driftwood  White Bark Wheat Ale Growler,407668,,,0,0.01,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
Naughty Hildegard Esb,42903,,,628201000003,0,1,12,0.06,0,0.05,0.05,0,0,Beer,Packaged,f
Entangled Hopfenweisse,436196,,,628201000676,0,1,12,0.08,0,0.05,0.05,0,0,Beer,Packaged,f
Driftwood  Ale Growler,448837,,,0,0.01,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
