product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
Zinfandel,116095,,,626990081319,0,1,12,0.14,0,0.29,0.29,0,0,Wine,Canada,t
Viognier Riesling Sauvignon Blanc 2009,122192,,,626990081401,0,1,6,0.13,0,0.23,0.23,0,0,Wine,Canada,t
MerlotSyrah 2011,140236,,,626990105305,0,1,12,0.14,0,0.39,0.39,0,0,Wine,Canada,f
Stemwinder 2014,164681,,,626990081371,0,1,12,0.14,0,0.17,0.15,0,0,Wine,Canada,f
Golden Mile Cellars Meritage,183475,,,0,0.03,1,6,0.13,0,0.98,0.98,0,0,Wine,Canada,t
Old Vines Chenin Blanc Late Harvest,222976,,,626990105343,0,1,12,0.1,0,0,0,0,0,Wine,Canada,f
Sparkling Chenin Blanc Home Vineyard 2011,223008,,,626990187578,0.01,1,1,0.12,0,0.89,0.89,0,0,Wine,Canada,f
PeterS Vineyard Riesling,234567,,,626990140122,0,1,12,0.13,0,0.21,0.21,0,0,Wine,Canada,t
Honest JohnS Red Block 1 2013,23457,,,626990140146,0,1,12,0.13,0,0.14,0.14,0,0,Wine,Canada,f
Honest JohnS White Block 1 2014,234575,,,626990187653,0,1,12,0.13,0,0.1,0.1,0,0,Wine,Canada,f
Honest JohnS White Block 1 2012,234575,B,,0,7.5,1,12,0.13,0.1,0.1,0.1,0,0,Wine,Canada,f
Honest JohnS Red Block 1 2011,23457,B,,0,7.5,1,12,0.13,0.1,0.14,0.14,0,0,Wine,Canada,t
SeventyFour K 2013 Block 1,253062,,,0,7.5,1,12,0.1,0.1,0.18,0.18,0,0,Wine,Packaged,f
SeventyFour K 2012 Block 1,253062,B,,626990105411,0,1,12,0.13,0,0.18,0.18,0,0,Wine,Canada,f
Pinot Noir Fleet Road 2012,255471,,,626990105404,0,1,12,0.12,0,0.24,0.24,0,0,Wine,Canada,f
The Similkameen Collective  Consensus,286476,,,0,7.5,1,6,0.12,0.1,0.52,0.52,0,0,Wine,Packaged,f
Honest JohnS Red 2014,290684,B,,626990222255,75,1,12,0.13,0,0.16,0.16,0,0,Wine,Canada,f
The Similkameen Collective  Roussanne,290890,,,0,7.5,1,6,0.05,0.1,0.3,0.3,0,0,Wine,Packaged,f
Jackpot Malbec 2013,312926,,,626990140160,0,1,6,0.13,0,0.39,0.39,0,0,Wine,Canada,f
Jackpot Malbec 2011,312926,B,,0,7.5,1,6,0.13,0.1,0.39,0.39,0,0,Wine,Canada,f
Jackpot Petit Verdot 2012,312975,,,626990140177,0,1,6,0.15,0,0.65,0.65,0,0,Wine,Canada,f
Rockpile 2008,313601,,,626990105299,0.03,1,1,0.14,0,1.05,1.05,0,0,Wine,Canada,t
Riesling,344630,,,626990062738,0,1,12,0.12,0,0.19,0.19,0,0,Wine,Canada,t
Golden Mile Cellars Syrah 2006,355404,,,626990062660,0,1,12,0.13,0,0.24,0.24,0,0,Wine,Canada,t
Wildebeest  White 2013,357061,,,626990140191,0,1,12,0.14,0,0.14,0.14,0,0,Wine,Canada,f
Wildebeest  Red 2012,357129,,,626990140207,0,1,12,0.14,0,0.21,0.21,0,0,Wine,Canada,t
Honest JohnS Rose 2014,357327,,,626990081340,0,1,12,0.12,0,0.15,0.15,0,0,Wine,Canada,f
Honest JohnS Rose 2015,357327,B,,0,0,1,12,0.12,0.01,0.15,0.15,0,0,Wine,Canada,f
Golden Mile  Old Vine Chenin 0406,379735,,,626990038146,0,1,12,0.13,0,0.19,0.19,0,0,Wine,Canada,t
SeventyFour K 2012,410837,,,626990140108,0.03,1,1,0.13,0,1.49,1.49,0,0,Wine,Canada,f
Syrah 2011,417287,,,626990081289,0,1,12,0.13,0,0.21,0.2,0,0,Wine,Canada,f
